t,contact point,7 mm
0,37,37
2,37.76,38.20
4,38.32,39.33
6,38.76,40.36
8,39.12,41.29
10,39.42,42.14
12,39.68,42.91
14,39.91,43.61
16,40.11,44.26
18,40.29,44.85
20,40.45,45.39
22,40.60,45.89
24,40.73,46.36
26,40.86,46.80
28,40.97,47.21
30,41.08,47.60
32,41.18,47.97
34,41.27,48.31
36,41.36,48.64
38,41.45,48.95
40,41.53,49.25
42,41.60,49.53
44,41.67,49.80
46,41.74,50.06
48,41.81,50.31
50,41.87,50.54
52,41.93,50.77
54,41.99,50.99
56,42.04,51.20
58,42.09,51.41
60,42.15,51.60
62,42.19,51.79
64,42.24,51.98
66,42.29,52.16
68,42.33,52.33
70,42.38,52.49
72,42.42,52.66
74,42.46,52.81
76,42.50,52.97
78,42.53,53.11
80,42.57,53.26
82,42.61,53.40
84,42.64,53.54
86,42.67,53.67
88,42.71,53.80
90,42.74,53.93
92,42.77,54.05
94,42.80,54.17
96,42.83,54.29
98,42.86,54.40
100,42.89,54.51
102,42.92,54.62
104,42.94,54.73
106,42.97,54.84
108,42.99,54.94
110,43.02,55.04
112,43.04,55.14
114,43.07,55.23
116,43.09,55.33
118,43.12,55.42
120,43.14,55.51
