t,4 mm,5 mm,7 mm
0:00:00,37,37,37
0:00:01,37.2053299,37.68442917,37.26906586
0:00:02,37.37914276,38.26380539,37.54651642
0:00:03,37.52441406,38.74804306,37.83220673
0:00:04,37.66368866,39.2122879,38.11913681
0:00:05,37.77739334,39.59130478,38.41135406
0:00:06,37.89036942,39.96789932,38.70355225
0:00:07,37.98223495,40.27411652,38.99523163
0:00:08,38.0739975,40.5799942,39.28687668
0:00:09,38.15150833,40.83836365,39.57330322
0:00:10,38.22745514,41.0915184,39.85855103
0:00:11,38.29468155,41.31560135,40.13721848
0:00:12,38.3595047,41.53168488,40.41307068
0:00:13,38.41851044,41.72837067,40.68212509
0:00:14,38.47531128,41.91770554,40.94763947
0:00:15,38.5274353,42.09144974,41.20562744
0:00:16,38.57827759,42.26091385,41.46097183
0:00:17,38.62453842,42.41512299,41.70685959
0:00:18,38.67079926,42.56932831,41.95274734
0:00:19,38.71253586,42.70845413,42.18728638
0:00:20,38.75408173,42.84693909,42.42134094
0:00:21,38.79246521,42.97488022,42.64619064
0:00:22,38.83041763,43.10138702,42.86978149
0:00:23,38.86530685,43.2176857,43.08334732
0:00:24,38.90019608,43.33398056,43.29690933
0:00:25,38.93255615,43.44185257,43.50131989
0:00:26,38.96447754,43.54825211,43.70413208
0:00:27,38.99526215,43.65087509,43.90245438
0:00:28,39.0246048,43.7486763,44.09505081
0:00:29,39.05353165,43.84509659,44.2858696
0:00:30,39.08074951,43.93582535,44.4693985
0:00:31,39.10796738,44.02655411,44.6529274
0:00:32,39.13335037,44.11116409,44.82810974
0:00:33,39.15872192,44.19573975,45.00323868
0:00:34,39.18284988,44.27616119,45.17239761
0:00:35,39.20658875,44.35529327,45.33969116
0:00:36,39.22951889,44.43172073,45.50291061
0:00:37,39.25177383,44.50590515,45.66273499
0:00:38,39.27378082,44.57926559,45.82126999
0:00:39,39.2947464,44.64915848,45.97434998
0:00:40,39.31560135,44.71866608,46.12680435
0:00:41,39.33551788,44.78505325,46.27417374
0:00:42,39.3552742,44.85091019,46.42066193
0:00:43,39.37427521,44.91424179,46.56290436
0:00:44,39.39304733,44.9768219,46.70386124
0:00:45,39.41122055,45.03739929,46.84138107
0:00:46,39.42909622,45.09698486,46.97713852
0:00:47,39.44654465,45.15514374,47.11039734
0:00:48,39.46352386,45.21173859,47.24084473
0:00:49,39.4803009,45.26766205,47.37009811
0:00:50,39.49644089,45.32146072,47.49544525
0:00:51,39.51247406,45.37491608,47.62015533
0:00:52,39.52819061,45.42729568,47.74287033
0:00:53,39.54349899,45.47832489,47.86305237
0:00:54,39.55860138,45.52865982,47.98191452
0:00:55,39.57329559,45.57765198,48.09822083
0:00:56,39.58781052,45.62603378,48.21334457
0:00:57,39.60195541,45.67318344,48.32607651
0:00:58,39.61592484,45.71974564,48.43764496
0:00:59,39.6295433,45.76514053,48.54693222
0:01:00,39.64302826,45.81009293,48.65532684
0:01:01,39.65611649,45.85372162,48.76107788
0:01:02,39.66920853,45.89735031,48.86683273
0:01:03,39.68182373,45.93940353,48.96939468
0:01:04,39.69439697,45.98131943,49.07168198
0:01:05,39.70667648,46.02225113,49.17193604
0:01:06,39.71880341,46.06266785,49.27114105
0:01:07,39.73067474,46.10224915,49.36861038
0:01:08,39.74239349,46.14130402,49.46498871
0:01:09,39.75390625,46.17968369,49.55994415
0:01:10,39.76520538,46.21734238,49.65338898
0:01:11,39.77647781,46.25492096,49.74666214
0:01:12,39.78738403,46.29127884,49.83732986
0:01:13,39.79829025,46.3276329,49.9280014
0:01:14,39.80888748,46.362957,50.01646805
0:01:15,39.81945419,46.39818192,50.10470581
0:01:16,39.82975006,46.43248749,50.19095993
0:01:17,39.83998108,46.4665947,50.27677917
0:01:18,39.84999466,46.49997711,50.36102295
0:01:19,39.85993195,46.53309631,50.4446907
0:01:20,39.86965942,46.56553268,50.52684402
0:01:21,39.87934875,46.5978241,50.60869217
0:01:22,39.88878632,46.62928391,50.68868256
0:01:23,39.89822388,46.66074371,50.76867676
0:01:24,39.90743256,46.69142914,50.84695435
0:01:25,39.91660309,46.72200012,50.92495728
0:01:26,39.92554855,46.75181961,51.00128555
0:01:27,39.93447113,46.78156281,51.07743073
0:01:28,39.94320679,46.81069183,51.15219116
0:01:29,39.95187378,46.83957672,51.22639847
0:01:30,39.96044159,46.86813736,51.29986572
0:01:31,39.96886444,46.89621735,51.37223434
0:01:32,39.97724152,46.92412567,51.4442215
0:01:33,39.98545456,46.95151138,51.51499939
0:01:34,39.99360275,46.97867584,51.58525848
0:01:35,40.00164413,47.00547409,51.65468597
0:01:36,40.00957108,47.03190231,51.72326279
0:01:37,40.0174408,47.05813599,51.79137802
0:01:38,40.02513885,47.08378983,51.85813904
0:01:39,40.0328331,47.10943985,51.92490768
0:01:40,40.04039383,47.13463974,51.9906044
0:01:41,40.04788589,47.15961075,52.0557785
0:01:42,40.05530167,47.18433762,52.12036514
0:01:43,40.06261444,47.20871735,52.18414307
0:01:44,40.06985855,47.23286057,52.24737167
0:01:45,40.07701874,47.25671768,52.30991364
0:01:46,40.08409119,47.28030014,52.37180328
0:01:47,40.09109497,47.3036499,52.43315125
0:01:48,40.09801865,47.32672501,52.49383545
0:01:49,40.10487747,47.34958267,52.55400085
0:01:50,40.11164856,47.37215805,52.61349487
0:01:51,40.11836243,47.39453506,52.67251205
0:01:52,40.12499237,47.41663742,52.73086929
0:01:53,40.13156128,47.4385376,52.78874207
0:01:54,40.13806152,47.46020126,52.84604263
0:01:55,40.14448166,47.48160553,52.90271759
0:01:56,40.15088654,47.50294495,52.95924759
0:01:57,40.15716553,47.52388,53.01478195
0:01:58,40.16343307,47.54476929,53.07021713
0:01:59,40.16959,47.56529236,53.12475967
0:02:00,40.17572403,47.58574295,53.17911911
0:02:01,40.18175507,47.60585022,53.23265076
0:02:02,40.18778992,47.6259613,53.28617859
0:02:03,40.19369507,47.64564133,53.33867264
0:02:04,40.19959259,47.66530228,53.39110947
0:02:05,40.20542145,47.68472672,53.44296265
0:02:06,40.21118927,47.7039566,53.49433517
0:02:07,40.21692276,47.72307587,53.54543686
0:02:08,40.22257233,47.74190521,53.59583282
0:02:09,40.22821045,47.76069641,53.64612961
0:02:10,40.23374176,47.77914047,53.69557571
0:02:11,40.23927689,47.79758453,53.74501419
0:02:12,40.24472046,47.81573486,53.79372025
0:02:13,40.25014496,47.8338089,53.84225082
0:02:14,40.25550079,47.85165787,53.8902092
0:02:15,40.2608223,47.86940384,53.93791199
0:02:16,40.26608276,47.88694382,53.98509979
0:02:17,40.27131653,47.90437698,54.03203964
0:02:18,40.27648163,47.92159271,54.07841873
0:02:19,40.28162003,47.93872833,54.1246109
0:02:20,40.28669357,47.9556427,54.17023087
0:02:21,40.29174423,47.97247696,54.21566391
0:02:22,40.29673767,47.9891243,54.26062775
0:02:23,40.30169678,48.0056572,54.30529404
0:02:24,40.30661392,48.02203751,54.34958649
0:02:25,40.31148148,48.03826523,54.39348221
0:02:26,40.31633377,48.05443573,54.43725204
0:02:27,40.32111359,48.07036972,54.48040771
0:02:28,40.32588196,48.08626938,54.52348709
0:02:29,40.33058167,48.10193634,54.565979
0:02:30,40.33527374,48.11757278,54.60838699
0:02:31,40.33989334,48.1329689,54.65018845
0:02:32,40.34451294,48.14836502,54.69198227
0:02:33,40.34906387,48.16353989,54.73322296
0:02:34,40.35359955,48.17865753,54.7743187
0:02:35,40.35808945,48.19362259,54.81502914
0:02:36,40.36254501,48.20848083,54.85546112
0:02:37,40.36697388,48.22323608,54.89561844
0:02:38,40.37135315,48.23784256,54.93541718
0:02:39,40.37571716,48.252388,54.97504425
0:02:40,40.38002396,48.26673889,55.01419449
0:02:41,40.38433075,48.28109741,55.05334473
0:02:42,40.38856506,48.29520798,55.09187317
0:02:43,40.39279175,48.30929947,55.13033676
0:02:44,40.39698792,48.32329178,55.16856384
0:02:45,40.40113831,48.33711624,55.20634842
0:02:46,40.40528488,48.3509407,55.24413681
0:02:47,40.40937042,48.36455917,55.28138733
0:02:48,40.41344452,48.37814713,55.31856155
0:02:49,40.41748047,48.3915863,55.35536194
0:02:50,40.42149353,48.40497208,55.39201355
0:02:51,40.42546082,48.41820526,55.42827606
0:02:52,40.42942047,48.43139267,55.4644165
0:02:53,40.43333435,48.44445038,55.50022507
0:02:54,40.43723297,48.45743942,55.53586578
0:02:55,40.44109344,48.47031403,55.57119751
0:02:56,40.44493866,48.48311996,55.60635757
0:02:57,40.44874573,48.49580765,55.64120483
0:02:58,40.45252991,48.50842285,55.67587662
0:02:59,40.45628738,48.52095413,55.71031189
0:03:00,40.46001434,48.53337479,55.74446487
0:03:01,40.46373367,48.54577255,55.77856827
0:03:02,40.4673996,48.55799103,55.81219482
0:03:03,40.47106552,48.5702095,55.8458252
0:03:04,40.47468948,48.58229065,55.87909698
0:03:05,40.47829437,48.59431458,55.91222763
0:03:06,40.48188019,48.60625839,55.94513702
0:03:07,40.48543549,48.61811829,55.97784042
0:03:08,40.48896408,48.629879,56.01026917
0:03:09,40.49247742,48.64157867,56.04253769
0:03:10,40.49596405,48.6532135,56.07465363
0:03:11,40.49942398,48.66474533,56.10649109
0:03:12,40.50286865,48.67622757,56.13819885
0:03:13,40.50628662,48.68761826,56.16965485
0:03:14,40.5096817,48.69893646,56.20093536
0:03:15,40.51306152,48.71019745,56.23205948
0:03:16,40.51640701,48.72135162,56.26290894
0:03:17,40.51973724,48.73245621,56.29362488
0:03:18,40.52304459,48.74347687,56.32411957
0:03:19,40.52632904,48.75442886,56.35442734
0:03:20,40.52959061,48.76529694,56.38452148
0:03:21,40.53285217,48.77616501,56.41461563
0:03:22,40.53606415,48.78687286,56.44428635
0:03:23,40.53927612,48.7975769,56.47395325
0:03:24,40.54245758,48.80818558,56.50335312
0:03:25,40.54562378,48.81874084,56.53261948
0:03:26,40.5487709,48.82923126,56.56171799
0:03:27,40.55189514,48.8396492,56.59062195
0:03:28,40.55500793,48.85001373,56.61937714
0:03:29,40.55809402,48.8603096,56.64796066
0:03:30,40.56116104,48.87052917,56.67634201
0:03:31,40.56421661,48.8807106,56.70461273
0:03:32,40.56724167,48.89080429,56.73266602
0:03:33,40.57025909,48.90086365,56.76062012
0:03:34,40.57325363,48.91083527,56.78834152
0:03:35,40.57623672,48.92078018,56.81599045
0:03:36,40.5791893,48.9306221,56.84336472
0:03:37,40.58213425,48.94044113,56.87068939
0:03:38,40.5850563,48.95018387,56.89780045
0:03:39,40.58796692,48.95988083,56.92479324
0:03:40,40.59085846,48.96952057,56.95162582
0:03:41,40.59373093,48.97909927,56.978302
0:03:42,40.59658813,48.98862457,57.00484467
0:03:43,40.59943008,48.99808884,57.03121185
0:03:44,40.60225677,49.00750732,57.05746078
0:03:45,40.60505676,49.0168457,57.08349228
0:03:46,40.60785675,49.02618027,57.10952377
0:03:47,40.61062622,49.03541946,57.13528824
0:03:48,40.61338806,49.04462433,57.1609726
0:03:49,40.61613464,49.0537796,57.18651581
0:03:50,40.61886215,49.06286621,57.21187592
0:03:51,40.62158203,49.07193756,57.23720551
0:03:52,40.62427521,49.08090973,57.26225281
0:03:53,40.62696457,49.08987808,57.28730392
0:03:54,40.62962723,49.09875488,57.31209946
0:03:55,40.63228607,49.10761261,57.33685303
0:03:56,40.63492203,49.11640167,57.36141968
0:03:57,40.63755035,49.1251564,57.38588715
0:03:58,40.64015961,49.13385773,57.41022491
0:03:59,40.6427536,49.14250565,57.43441391
0:04:00,40.64533997,49.15112305,57.45851898
0:04:01,40.64790344,49.15966797,57.48242569
0:04:02,40.65046692,49.16820908,57.50632858
0:04:03,40.65299606,49.176651,57.529953
0:04:04,40.65552521,49.18508148,57.55357361
0:04:05,40.65803909,49.19345856,57.57702637
0:04:06,40.66053772,49.20178986,57.60036469
0:04:07,40.66302872,49.21009064,57.62361145
0:04:08,40.66550064,49.21833038,57.646698
0:04:09,40.66796112,49.22653961,57.66970062
0:04:10,40.67041016,49.23469543,57.6925621
0:04:11,40.67284393,49.2428093,57.71532059
0:04:12,40.67526627,49.25087738,57.73794937
0:04:13,40.67767715,49.25891876,57.76049805
0:04:14,40.68006897,49.26689529,57.78288651
0:04:15,40.68246078,49.2748642,57.805233
0:04:16,40.6848259,49.28274918,57.82736969
0:04:17,40.68719482,49.29063416,57.84950256
0:04:18,40.68953705,49.29844666,57.87144089
0:04:19,40.69187164,49.30624008,57.89331818
0:04:20,40.69419861,49.31399536,57.91509628
0:04:21,40.69651031,49.32169724,57.93673706
0:04:22,40.69881439,49.32937622,57.95832062
0:04:23,40.70110321,49.3370018,57.97974396
0:04:24,40.7033844,49.34460068,58.00109863
0:04:25,40.70564651,49.35214996,58.02233124
0:04:26,40.707901,49.35966492,58.04346085
0:04:27,40.71014404,49.36714172,58.06448746
0:04:28,40.71237946,49.37459564,58.08544159
0:04:29,40.71459961,49.38198471,58.10623932
0:04:30,40.71681595,49.38938141,58.12703705
0:04:31,40.7190094,49.39669418,58.14762497
0:04:32,40.72120285,49.40399933,58.16819
0:04:33,40.72338104,49.4112587,58.18862915
0:04:34,40.72554779,49.41849136,58.20898056
0:04:35,40.72770691,49.42568588,58.22924805
0:04:36,40.72985458,49.43284225,58.24940872
0:04:37,40.73199463,49.43996811,58.26947021
0:04:38,40.73411942,49.44706345,58.28946304
0:04:39,40.73623657,49.45411301,58.30932999
0:04:40,40.7383461,49.46114349,58.32913589
0:04:41,40.74044037,49.46812439,58.34882355
0:04:42,40.74252319,49.47507477,58.36842346
0:04:43,40.7446022,49.48200226,58.3879509
0:04:44,40.74666977,49.48888779,58.40736389
0:04:45,40.74872589,49.49574661,58.42671585
0:04:46,40.75077438,49.50257111,58.44596863
0:04:47,40.75281143,49.50936508,58.46512985
0:04:48,40.75484085,49.51613235,58.48422623
0:04:49,40.75685883,49.52285385,58.50320053
0:04:50,40.75887299,49.52956772,58.52215576
0:04:51,40.76086807,49.53621674,58.54092789
0:04:52,40.76286316,49.54286575,58.55970383
0:04:53,40.76484299,49.54946899,58.57835007
0:04:54,40.76681519,49.55604553,58.59692383
0:04:55,40.76878357,49.56260681,58.615448
0:04:56,40.77073669,49.56911469,58.63384247
0:04:57,40.772686,49.57561493,58.65220642
0:04:58,40.77462006,49.58206177,58.67042542
0:04:59,40.77655411,49.58850479,58.68864059
0:05:00,40.7784729,49.59490967,58.70674515
